,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,0,PF,1571077247,75,-9.8,-139.03,79.61,17.47
1,Rikitea,0,PF,1571077248,82,-23.12,-134.97,72.77,9.68
2,Hobart,3,AU,1571077251,81,-42.88,147.33,50.0,9.17
3,Colac,23,AU,1571077252,94,-38.34,143.59,51.01,0.43
4,Merrill,1,US,1571077254,46,42.03,-121.6,55.0,3.36
5,Ushuaia,75,AR,1571077256,61,-54.81,-68.31,48.2,26.4
6,Hithadhoo,100,MV,1571077257,85,-0.6,73.08,79.97,15.24
7,Cape Town,40,ZA,1571077259,72,-33.93,18.42,64.99,13.87
8,Nikolskoye,90,RU,1571077260,81,59.7,30.79,42.8,8.95
9,Pevek,61,RU,1571077262,71,69.7,170.27,32.63,19.22
10,Bluff,0,AU,1571077263,83,-23.58,149.07,66.29,3.65
11,Limin Khersonisou,40,GR,1571077264,88,35.32,25.39,71.01,5.04
12,Yellowknife,75,CA,1571077266,68,62.45,-114.38,30.2,5.82
13,Tigil,90,RU,1571077267,81,57.8,158.67,31.37,12.3
14,Te Anau,58,NZ,1571077269,90,-45.41,167.72,44.15,1.25
15,Kodiak,1,US,1571077270,45,39.95,-94.76,70.0,8.05
16,Konstantinovsk,18,RU,1571077272,62,47.58,41.1,60.89,2.96
17,Puerto Ayora,75,EC,1571077274,50,-0.74,-90.35,78.8,18.34
18,Vaini,40,IN,1571077276,88,15.34,74.49,75.2,4.7
19,Prince Rupert,90,CA,1571077278,70,54.32,-130.32,46.4,10.29
20,Cherskiy,98,RU,1571077279,96,68.75,161.3,23.45,9.12
21,Upernavik,99,GL,1571077280,54,72.79,-56.15,23.63,13.23
22,East London,0,ZA,1571077282,93,-33.02,27.91,64.4,4.7
23,Port Alfred,0,ZA,1571077283,87,-33.59,26.89,64.0,7.0
24,College,1,US,1571077285,79,64.86,-147.8,28.4,5.82
25,Qaanaaq,100,GL,1571077286,68,77.48,-69.36,20.03,20.5
26,Srednekolymsk,100,RU,1571077288,93,67.46,153.71,22.91,20.11
27,Hermanus,50,ZA,1571077289,78,-34.42,19.24,64.99,11.01
28,Punta Arenas,1,CL,1571077290,35,-53.16,-70.91,57.2,21.92
29,Avera,1,US,1571077292,23,33.19,-82.53,82.99,10.29
30,Mar del Plata,0,AR,1571077293,41,-46.43,-67.52,51.71,13.48
31,Albany,20,US,1571077295,43,42.65,-73.75,70.0,9.17
32,Zambezi,81,ZM,1571077296,47,-13.55,23.12,77.63,4.29
33,Port Lincoln,0,AU,1571077298,84,-34.72,135.86,50.09,2.82
34,Jamestown,0,AU,1571077299,91,-33.21,138.6,45.77,4.47
35,Hanmer Springs,100,NZ,1571077300,99,-42.52,172.83,39.47,2.59
36,Bundaberg,90,AU,1571077302,73,-24.87,152.35,71.01,13.87
37,Maningrida,60,AU,1571077272,91,-12.05,134.23,72.05,4.46
38,Koygorodok,92,RU,1571077305,94,60.44,51.01,38.03,5.7
39,Faya,40,SA,1571077306,28,18.39,42.45,69.8,11.41
40,Ak-Dovurak,8,RU,1571077308,57,51.17,90.6,38.03,0.98
41,San Patricio,100,PY,1571077309,90,-26.98,-56.83,74.75,5.68
42,Natal,40,BR,1571077310,58,-5.81,-35.21,86.0,16.11
43,Faanui,21,PF,1571077312,80,-16.48,-151.75,77.09,14.21
44,Leningradskiy,83,RU,1571077313,71,69.38,178.42,30.83,12.49
45,Butaritari,100,KI,1571077223,62,3.07,172.79,84.83,6.9
46,Sao Joao da Barra,0,BR,1571077316,54,-21.64,-41.05,84.2,20.8
47,Yumen,9,CN,1571077318,38,40.29,97.04,40.37,14.99
48,Imuris,7,MX,1571077319,52,30.78,-110.86,81.0,1.99
49,Hilo,90,US,1571077320,88,19.71,-155.08,75.99,3.36
50,San Cristobal,99,HN,1571077322,75,14.68,-86.92,75.11,4.34
51,New Norfolk,24,AU,1571077323,81,-42.78,147.06,50.0,9.17
